verdict	suspect	suspect_count	candidate	candidate_count	freq_ratio	candidate_in_lexicon	confidence
one-known	ΜΟΥΣΙΟΥ	1	ΜΟΥΣΤΟΥ	3	3.0	True	high
one-known	ΔΑΦΝΕΟ	1	ΔΑΦΝΕΣ	3	3.0	True	high
one-known	ΧΟΡΟΥΛΑ	1	ΚΟΡΟΥΛΑ	3	3.0	True	high
one-known	ΑΠΕΔΗΜΗΣΕ	1	ΑΠΟΔΗΜΗΣΕ	3	3.0	True	high
one-known	ΤΕΛΕΤ	1	ΤΕΛΕΙ	3	3.0	True	high
one-known	ΦΥΛΑΙΑΣ	1	ΦΥΛΑΚΑΣ	3	3.0	True	high
one-known	ΚΑΛΔΟΣ	1	ΚΑΛΛΟΣ	3	3.0	True	high
one-known	ΛΟΝΗΣ	1	ΛΟΥΗΣ	3	3.0	True	high
one-known	ΓΚΑΡΟΣ	1	ΙΚΑΡΟΣ	3	3.0	True	high
one-known	ΤΕΡΟΥΣ	1	ΓΕΡΟΥΣ	3	3.0	True	high
one-known	ΘΑΡΜΑΚΕΙΟΝ	1	ΦΑΡΜΑΚΕΙΟΝ	3	3.0	True	high
one-known	ΘΥΣΙΝ	1	ΦΥΣΙΝ	3	3.0	True	high
one-known	ΚΟΥΙΟΣ	1	ΚΟΥΡΟΣ	3	3.0	True	high
one-known	ΚΑΡΕΙ	1	ΧΑΡΕΙ	3	3.0	True	high
one-known	ΔΑΚΩΝΙΚΟΥ	1	ΛΑΚΩΝΙΚΟΥ	3	3.0	True	high
one-known	ΜΠΟΥΗ	1	ΜΠΟΥΝ	3	3.0	True	high
one-known	ΑΙΤΙΝΕΣ	1	ΑΚΤΙΝΕΣ	3	3.0	True	high
one-known	ΠΗΓΑΙΣ	1	ΠΗΓΑΙΟ	3	3.0	True	high
one-known	ΜΑΡΓΗΣ	1	ΜΑΡΤΗΣ	3	3.0	True	high
one-known	ΣΟΔΕΥΟΥΝ	1	ΞΟΔΕΥΟΥΝ	3	3.0	True	high
